Amount,DeviceID,ReturnCount,CouponUsed,HourOfDay,DayOfWeek,Month,TimeSinceLastTransaction,TransactionsInLastHour,AmountInLastHour,CustomerAge,ProductPrice,CustomerLocation,ProductCategory,IsFraud
4764.25,desktop,6,0,5,3,1,1.495,0,6021.6,26,3548.99,Canada,Home & Garden,0
6433.85,desktop,6,1,16,5,12,18.441,3,6788.9,31,3821.11,Mexico,Groceries,0
5201.21,mobile,6,1,12,6,2,7.843,5,5183.85,32,4188.53,Mexico,Home & Garden,0
5054.4,desktop,3,0,5,1,5,20.937,4,8573.95,22,3799.83,US,Home & Garden,0
4027.26,mobile,7,0,12,2,12,24.287,1,5729.8,50,4298.46,UK,Electronics,1
4725.77,tablet,7,0,7,4,10,18.257,5,5683.98,43,3815.81,US,Home & Garden,0
2710.04,mobile,4,0,10,6,4,5.429,4,3409.84,38,4600.86,US,Electronics,0
4014.21,tablet,5,1,21,5,1,0.372,2,5490.05,19,5553.59,Mexico,Clothing,0
3657.31,tablet,6,0,5,1,7,10.756,1,5257.12,41,4223.01,UK,Groceries,0
2589.15,tablet,11,0,4,1,7,13.314,7,5082.98,29,5179.69,UK,Electronics,0
3633.03,mobile,6,0,8,0,9,7.801,5,6944.79,62,5192.72,Mexico,Groceries,0
5151.43,desktop,5,0,9,0,6,13.175,5,5162.59,19,5509.44,UK,Groceries,0
2565.64,desktop,5,0,18,6,8,27.619,2,7162.04,37,4455.2,US,Groceries,1
3719.38,mobile,6,0,10,2,3,0.81,0,5384.43,34,3606.99,Mexico,Electronics,0
5284.53,mobile,7,0,14,6,1,1.992,2,7378.07,24,4601.98,Mexico,Home & Garden,1
3786.73,tablet,5,0,17,3,2,21.628,6,6290.59,62,5742.22,Mexico,Clothing,0
4082.28,tablet,11,0,22,4,1,2.728,2,8130.96,21,4800.49,UK,Electronics,1
5613.97,desktop,2,1,14,4,5,0.937,5,6332.9,62,4643.21,Mexico,Groceries,0
4515.27,desktop,5,0,8,0,8,22.773,3,8388.36,21,3443.9,US,Clothing,0
4164.7,tablet,7,0,8,4,10,7.606,4,6086.54,20,5127.43,UK,Clothing,0
4157.36,desktop,3,0,12,4,9,26.606,2,9462.64,22,3866.71,Mexico,Home & Garden,0
3166.44,mobile,2,0,3,5,11,39.732,5,6498.77,49,5619.71,Mexico,Home & Garden,0
4770.43,mobile,6,0,14,2,2,20.521,5,7353.54,28,3795.75,UK,Home & Garden,0
5126.75,mobile,4,0,22,4,11,2.494,3,7300.4,33,4110.74,US,Home & Garden,1
2153.23,desktop,7,0,18,3,9,20.297,6,4866.66,20,4054.54,Mexico,Groceries,0
2658.73,desktop,2,0,11,4,2,15.973,2,5653.93,63,3580.66,Canada,Home & Garden,0
4258.0,desktop,3,0,10,5,6,2.362,3,6938.23,50,3977.54,US,Electronics,0
3318.02,tablet,5,0,21,2,3,22.655,8,10231.51,33,4015.27,UK,Groceries,1
5735.96,tablet,1,0,2,4,9,20.54,3,6395.82,49,6868.51,Mexico,Home & Garden,0
3903.37,desktop,3,0,23,6,1,18.354,7,7904.59,58,6851.59,UK,Groceries,0
5316.94,mobile,7,1,3,3,7,10.011,3,6878.61,58,4689.24,Canada,Groceries,1
3629.39,mobile,4,0,19,0,8,9.131,4,4817.39,29,2443.03,Mexico,Electronics,0
2703.5,tablet,9,1,19,0,5,27.584,1,2974.81,23,4371.84,UK,Groceries,0
3105.44,tablet,0,1,17,1,9,8.678,4,6127.71,25,4308.53,Mexico,Electronics,0
5073.09,desktop,9,1,7,5,4,11.286,4,5672.08,45,4508.18,Canada,Electronics,0
2888.37,desktop,10,1,15,5,6,10.472,5,8127.13,52,6221.52,UK,Groceries,0
5269.18,mobile,7,0,2,6,12,6.476,8,7395.47,32,4293.78,Canada,Clothing,1
3937.41,tablet,3,0,21,6,12,7.747,4,5731.46,48,4056.7,UK,Groceries,1
4160.48,tablet,5,0,6,2,7,10.161,5,4125.54,59,3952.21,Mexico,Home & Garden,1
4751.38,tablet,6,0,17,3,2,6.403,3,7117.48,26,3129.05,Mexico,Electronics,0
5672.28,tablet,3,0,1,5,3,9.244,6,7845.86,50,3615.65,UK,Electronics,0
2776.06,desktop,4,0,1,1,3,2.111,2,5975.44,25,4302.06,Mexico,Clothing,0
5311.21,desktop,4,0,4,3,3,26.197,2,7388.81,22,4978.79,US,Electronics,0
4764.1,mobile,6,0,19,6,2,4.181,3,4898.55,43,4931.87,UK,Groceries,0
4251.31,mobile,5,1,2,5,6,1.523,3,5996.9,44,3267.08,UK,Groceries,1
5313.07,desktop,6,1,1,5,9,10.975,3,6483.73,48,3327.43,Mexico,Clothing,0
4049.05,desktop,4,0,5,1,8,3.529,2,5538.6,45,3647.94,UK,Clothing,0
3697.53,tablet,3,0,3,5,7,12.885,6,6836.41,19,4108.37,Mexico,Home & Garden,0
5749.24,tablet,5,0,5,3,1,1.162,4,7588.03,21,3849.36,Mexico,Clothing,1
4553.83,desktop,8,1,19,1,12,15.195,4,5752.42,62,5078.53,Canada,Electronics,0
3771.02,tablet,2,0,0,0,5,7.105,8,6180.09,49,4086.65,Canada,Clothing,0
3282.51,tablet,4,0,16,3,9,10.326,3,8911.24,48,5819.34,UK,Clothing,0
3170.96,tablet,4,1,1,3,3,21.797,8,6403.4,25,4535.25,Canada,Clothing,0
5599.12,mobile,3,0,21,6,4,17.026,6,7131.02,46,2615.31,Mexico,Home & Garden,1
4206.25,tablet,7,1,4,5,7,9.545,7,3589.72,51,4896.45,UK,Home & Garden,1
5122.18,tablet,9,0,5,3,12,15.808,3,6252.9,21,3580.86,UK,Groceries,0
4778.36,tablet,2,0,17,5,10,12.299,4,4897.63,50,4125.59,Canada,Clothing,0
3878.25,desktop,6,1,10,2,7,8.483,3,4944.45,34,4894.3,Canada,Electronics,0
3588.58,mobile,7,1,18,2,1,15.151,0,7057.5,58,4519.3,UK,Electronics,1
2902.14,desktop,2,0,23,3,7,2.837,5,5957.27,60,3527.51,UK,Groceries,1
2237.17,mobile,5,0,20,3,8,3.013,5,3946.72,36,4476.36,UK,Electronics,0
3868.6,mobile,6,0,0,2,9,15.688,5,3751.41,27,4785.17,Mexico,Clothing,1
4944.49,mobile,5,1,6,1,4,14.137,5,4621.54,58,5624.33,US,Home & Garden,1
4379.87,mobile,5,0,23,2,3,5.817,2,8541.26,54,3563.43,US,Clothing,1
4067.86,tablet,6,1,14,0,12,2.257,3,7705.55,21,3426.59,US,Home & Garden,0
5142.39,desktop,7,0,20,3,2,2.354,5,6553.42,26,4858.93,US,Clothing,0
4545.82,mobile,3,0,2,6,2,13.816,7,4320.24,33,3914.18,UK,Clothing,1
3324.54,desktop,3,0,5,1,9,2.427,3,6685.22,34,4398.06,Canada,Electronics,0
4409.82,tablet,6,0,12,5,11,5.491,3,5517.48,36,4959.07,US,Home & Garden,0
4495.21,tablet,5,0,8,0,9,0.125,4,7900.62,58,5739.55,UK,Home & Garden,0
3495.17,desktop,6,0,15,4,9,24.038,7,7590.14,64,3850.28,UK,Electronics,0
3115.18,tablet,5,1,20,2,6,3.047,4,6212.36,44,3777.4,UK,Home & Garden,0
3779.81,desktop,4,0,0,5,1,2.473,1,1864.29,43,2054.08,UK,Groceries,0
2558.87,mobile,7,0,21,5,3,5.989,6,3603.63,43,5126.3,Canada,Clothing,1
3516.94,desktop,3,0,7,5,1,6.092,3,6293.59,50,2693.0,US,Home & Garden,0
3103.81,mobile,2,0,8,5,9,9.482,4,3712.55,34,4297.7,US,Groceries,0
3813.88,desktop,5,0,10,2,2,5.173,4,4462.63,49,4459.82,Canada,Electronics,0
4260.32,tablet,6,0,7,3,5,22.082,2,8620.62,60,5456.12,Canada,Home & Garden,0
5222.12,desktop,3,1,10,5,8,37.921,2,6222.34,63,4120.47,Mexico,Home & Garden,0
3629.99,desktop,6,1,14,0,11,32.477,4,9465.03,39,6208.17,US,Home & Garden,0
4542.83,mobile,5,0,2,6,8,81.588,4,7697.53,35,5190.86,Mexico,Home & Garden,0
5958.35,desktop,8,1,20,3,5,15.809,4,5973.06,49,4551.47,Mexico,Home & Garden,0
6673.51,mobile,9,1,3,2,9,0.613,0,7913.67,34,4734.2,Mexico,Electronics,1
1059.61,mobile,5,0,15,1,9,3.268,2,4928.77,24,4970.96,Canada,Electronics,0
4180.58,desktop,4,0,4,6,6,3.655,4,6290.48,36,2495.75,UK,Electronics,0
4213.29,mobile,1,0,9,6,12,19.907,2,8300.59,34,4451.86,US,Groceries,1
5360.66,tablet,6,0,20,5,2,12.516,6,3382.36,48,3574.76,Mexico,Home & Garden,0
3590.72,desktop,1,0,11,1,2,3.232,3,7650.2,46,3419.58,UK,Home & Garden,0
5069.61,tablet,7,0,10,4,1,26.617,4,6379.26,54,4279.79,Mexico,Electronics,0
4197.32,tablet,4,0,18,6,2,10.063,1,5427.22,54,4494.68,US,Clothing,1
3629.41,desktop,5,0,15,1,3,3.793,5,10207.61,52,5101.88,Mexico,Groceries,0
4517.2,desktop,6,1,14,5,1,23.652,3,8823.75,45,3704.18,UK,Home & Garden,0
3236.85,tablet,4,0,11,6,10,2.527,9,6271.51,25,3775.33,UK,Home & Garden,0
3602.47,mobile,8,1,1,3,6,4.552,2,8563.29,62,4701.92,Canada,Home & Garden,1
4438.38,tablet,5,0,7,1,1,26.68,2,3936.57,50,4234.08,Canada,Clothing,0
4584.57,mobile,4,0,20,5,3,1.812,2,6895.72,45,4533.98,UK,Groceries,0
1409.45,tablet,6,0,3,5,4,17.684,8,5902.07,53,4847.78,Canada,Electronics,0
2706.73,mobile,2,0,23,4,12,26.063,3,6939.14,44,4842.69,Mexico,Electronics,0
3992.8,desktop,4,0,2,6,11,3.223,9,7230.06,28,3476.42,US,Electronics,0
4746.09,desktop,5,1,23,4,12,5.623,8,7492.2,63,2737.47,UK,Groceries,0
4011.14,mobile,7,1,3,6,5,3.319,1,7419.28,58,3591.86,Mexico,Clothing,0
4034.15,desktop,2,1,5,3,12,2.54,5,7727.19,31,4721.68,US,Groceries,0
2623.27,mobile,6,0,14,5,9,3.131,5,5071.56,54,4230.0,US,Home & Garden,0
3043.82,tablet,10,0,8,5,4,38.409,7,7391.08,35,4964.19,US,Home & Garden,0
2482.13,mobile,6,1,2,4,3,30.463,6,5285.94,54,4015.37,Canada,Home & Garden,1
3529.59,tablet,3,0,22,4,11,2.125,6,5508.3,39,3647.19,US,Home & Garden,0
4160.02,tablet,5,0,14,1,10,24.619,0,7003.57,46,4549.35,US,Electronics,0
4038.73,desktop,3,0,19,2,2,3.389,4,5833.23,37,4367.12,UK,Home & Garden,0
5189.91,mobile,6,0,14,6,11,13.338,6,8027.35,21,4262.59,Canada,Electronics,0
4722.59,desktop,8,1,8,6,4,5.699,1,9499.17,58,5443.31,Mexico,Groceries,0
4294.22,tablet,2,0,7,4,11,2.844,3,5531.18,28,2653.12,Canada,Groceries,1
5274.99,tablet,6,1,18,0,9,2.309,5,5159.21,60,5426.36,Canada,Clothing,0
4538.32,mobile,4,0,7,6,11,6.755,5,6368.5,55,4238.23,US,Groceries,1
2996.11,tablet,4,1,17,2,8,8.06,2,6221.36,63,4313.13,UK,Home & Garden,1
4085.89,mobile,6,1,3,1,7,18.196,6,1561.4,63,4000.02,US,Electronics,1
1590.53,mobile,7,0,20,6,12,8.726,2,4983.22,36,3605.33,Mexico,Home & Garden,1
1907.89,tablet,6,1,23,1,1,6.846,5,8825.67,20,4234.41,US,Electronics,0
2551.41,tablet,5,0,16,3,9,7.671,7,4399.92,47,4142.83,US,Clothing,0
4848.43,mobile,3,0,15,4,6,5.682,4,1506.22,57,4031.91,Canada,Clothing,1
3382.39,tablet,5,0,10,0,4,14.546,6,8806.74,24,4828.11,UK,Electronics,0
3511.62,desktop,8,0,5,2,9,2.764,4,4621.04,34,3263.74,Canada,Groceries,0
4240.42,mobile,6,0,16,4,11,9.046,5,6520.88,29,3715.04,US,Clothing,0
3438.39,tablet,9,0,4,1,2,13.783,8,2872.62,44,3284.99,UK,Home & Garden,0
3755.92,mobile,4,1,18,1,1,14.368,3,7933.52,27,4497.52,Canada,Electronics,0
3161.06,tablet,8,0,18,5,1,6.183,6,6817.33,28,4201.24,US,Home & Garden,0
2723.23,mobile,4,1,8,5,2,11.019,2,7046.16,60,5397.78,Canada,Clothing,0
4243.24,mobile,7,0,19,3,8,0.688,5,7435.38,33,4766.58,UK,Clothing,1
3195.68,tablet,5,0,2,3,12,0.694,6,4680.8,37,3565.62,Mexico,Groceries,1
2297.79,tablet,4,0,19,0,4,11.208,1,5074.37,39,4379.37,Mexico,Home & Garden,1
4286.73,tablet,4,0,23,1,8,3.619,1,6232.88,18,4109.07,Canada,Home & Garden,0
3136.04,mobile,5,0,22,6,7,8.268,2,3233.09,38,5732.43,Canada,Clothing,1
3925.26,tablet,4,0,18,4,1,17.03,8,6465.19,20,4002.22,US,Groceries,0
5560.95,desktop,8,1,21,6,9,2.912,6,10070.07,30,3509.32,US,Home & Garden,0
3123.62,mobile,7,1,23,4,7,6.68,6,6282.51,32,2282.49,US,Clothing,1
2574.41,tablet,10,1,20,3,1,9.436,1,7625.83,56,4492.51,UK,Groceries,0
3553.76,tablet,5,0,20,2,11,3.46,2,8416.9,23,5732.54,Canada,Clothing,0
3110.76,mobile,2,1,1,0,4,9.747,3,7910.6,45,3461.84,UK,Electronics,1
2748.62,mobile,2,0,7,3,8,4.177,3,3372.77,36,4968.43,Canada,Clothing,1
3051.08,desktop,7,0,15,1,5,5.62,4,9494.73,32,4898.19,UK,Electronics,0
5372.06,desktop,2,0,5,4,12,20.637,5,7628.34,62,3556.03,US,Home & Garden,0
5516.39,mobile,3,0,12,2,8,3.515,7,7204.24,42,3827.76,UK,Electronics,0
5887.69,desktop,8,0,0,0,6,6.287,6,2260.52,52,3850.33,UK,Groceries,0
3490.19,tablet,7,0,16,6,3,14.853,3,6068.88,52,5243.17,UK,Clothing,0
3663.75,tablet,3,0,16,5,5,0.727,2,3600.28,62,3936.97,Mexico,Home & Garden,0
4353.55,tablet,11,1,7,5,8,18.622,5,5488.14,49,4649.47,Mexico,Clothing,1
3719.42,mobile,0,1,2,3,4,2.664,4,8976.47,30,2878.5,Canada,Groceries,0
1662.25,tablet,2,1,11,4,4,7.907,2,3266.54,64,4550.08,US,Groceries,0
4251.47,tablet,2,0,22,2,11,0.24,6,2181.29,43,5386.47,UK,Groceries,1
4823.31,tablet,2,0,10,2,11,8.349,3,3900.24,29,3154.26,Canada,Electronics,0
3691.09,desktop,2,0,3,6,12,3.387,6,7003.44,30,5858.61,Mexico,Electronics,1
3540.91,desktop,3,0,22,4,3,11.946,5,4610.8,56,4474.56,UK,Home & Garden,0
3199.03,desktop,2,0,19,2,5,0.856,2,6491.79,21,1542.23,Canada,Groceries,0
6265.71,desktop,8,0,2,0,11,8.124,1,6232.73,29,4797.1,Mexico,Groceries,1
3275.75,tablet,7,0,11,3,6,5.605,4,8741.07,59,4825.68,Canada,Electronics,0
4370.0,mobile,4,0,12,1,9,9.748,9,4611.02,32,4366.24,US,Home & Garden,0
4937.92,mobile,5,1,9,3,6,7.454,7,4237.86,21,3559.0,US,Clothing,0
4086.43,tablet,6,0,6,4,11,5.142,3,5571.65,48,4725.56,Mexico,Groceries,0
2095.55,desktop,5,0,7,3,11,2.748,2,8837.06,43,1960.97,UK,Home & Garden,0
3738.91,desktop,8,0,2,3,9,16.301,5,2007.45,45,6077.44,Mexico,Home & Garden,0
2985.24,mobile,5,1,19,2,12,6.428,1,6760.4,51,4038.35,Canada,Home & Garden,1
3034.21,mobile,4,1,13,3,9,12.054,10,6853.65,49,3944.05,Canada,Clothing,1
5590.58,desktop,4,0,22,3,3,10.732,4,5573.34,59,5063.96,Canada,Home & Garden,0
4172.53,mobile,6,0,21,4,12,1.775,2,7021.73,18,4090.81,US,Home & Garden,0
3592.45,tablet,5,1,23,2,11,5.67,5,5908.28,61,3451.86,UK,Groceries,0
4559.58,tablet,3,1,20,0,10,6.564,2,4372.94,26,4524.46,US,Home & Garden,0
2527.01,desktop,2,0,6,5,5,23.596,3,6052.25,41,2638.57,Mexico,Groceries,1
4466.55,mobile,7,0,5,6,5,14.426,3,8692.45,46,3426.88,Canada,Groceries,0
4813.55,desktop,5,0,5,6,3,21.04,3,10207.35,18,4736.76,Mexico,Home & Garden,0
2362.4,desktop,7,0,7,0,12,10.267,3,6239.2,50,4676.11,Canada,Groceries,0
4056.95,desktop,2,0,4,4,2,4.034,9,8731.68,39,4870.41,Canada,Clothing,0
